32070389	74476228	3	0
32070389	68559485	1	0
32070389	88304149	3	1
32070389	52503871	4	0
32070389	1209016	4	0
31500276	99107038	2	0
32070389	15100914	1	0
31500276	1528629	3	0
32070389	4841406	2	0
31500276	89216421	3	0
32070389	17963617	3	0
32070389	77522417	4	0
32070389	89056103	3	0
31500276	79775986	4	1
31500276	14147479	3	0
31500276	76423928	2	0
31500276	71614478	3	0
31500276	8478319	1	0
31500276	11979974	3	0
31500276	71179576	3	0
32070389	67653031	2	0
32070389	20370431	3	0
29969742	64104781	3	0
32070389	53349101	3	0
29969742	66211014	2	0
29969742	81306288	3	0
32070389	39917131	1	0
29969742	17380488	3	0
29969742	46822571	4	1
29969742	91217118	3	0
29969742	1926589	2	0
29969742	60992209	1	0
32070389	66703496	3	0
29969742	73205697	2	0
29969742	41112091	3	0
32070389	13385260	4	0
32070389	11725882	4	0
32070389	77682184	4	0
32070389	16201983	2	0
32070389	77014514	3	0
29969742	76068551	3	0
29969742	14603033	3	0
29969742	12491045	3	0
29969742	85324704	1	0
32070389	23372091	4	0
31500276	66293468	2	0
29969742	90988663	4	0
32070389	67582502	3	0
29969742	54445651	3	0
32070389	11602496	2	0
29969742	1936363	2	0
31500276	78543531	3	0
32070389	64706999	3	0
31500276	71560165	3	0
29969742	37260501	1	0
32070389	25671361	4	0
29969742	99677218	2	0
31500276	1702066	3	0
29969742	14556837	3	0
32070389	6344074	2	0
32070389	77273513	3	0
31500276	72462639	1	0
32070389	8247183	4	0
32070389	29056981	1	1
29969742	37563911	2	0
6342862	69614247	1	0
31500276	87954089	3	0
32070389	80893728	4	0
29969742	63883063	4	0
29969742	73675971	3	0
29969742	79345729	3	0
29969742	85205712	3	1
29969742	74162962	3	0
29969742	76993066	2	0
31500276	68267799	3	0
25003764	1955175	2	0
29969742	71614478	2	0
31500276	60987641	1	0
29969742	526229	3	0
31500276	75286204	2	0
25003764	9702723	1	0
29969742	80947484	4	0
31500276	891436	2	0
25003764	56640741	1	0
25003764	11521425	1	0
6342862	73561246	2	0
25003764	28495341	3	0
6342862	82445156	1	0
25003764	68221676	1	0
29969742	82925846	2	0
25003764	23540241	2	0
13663419	16435287	3	0
29969742	67976638	3	0
29969742	8855569	1	0
13663419	77244359	3	0
29969742	73246025	3	0
25003764	3921282	3	0
29960317	6260076	2	0
29969742	3407958	1	0
29969742	7747321	3	0
13663419	5466246	1	0
6342862	8883995	2	0
29969742	79063887	2	0
29969742	91011063	2	0
13663419	92169736	1	0
31500276	16053451	1	0
29969742	75286204	2	0
13663419	1118030	4	0
29960317	78405037	1	0
29969742	74710553	1	0
6342862	17801250	2	1
31500276	70294292	3	0
25003764	69501553	1	0
13663419	4524232	1	0
29960317	60797755	4	1
31500276	66107883	1	0
25003764	91412514	1	0
31500276	75517415	2	0
31500276	77279367	3	0
13663419	87123785	1	0
25003764	16053451	3	1
29969742	10737055	2	0
29960317	66676859	3	0
13663419	68254523	3	0
31500276	73331759	1	0
29969742	74863964	3	0
25003764	74215323	3	1
29969742	4524232	3	0
31500276	71603224	4	1
29969742	69818709	2	0
29969742	11521425	2	0
25003764	83504220	1	0
31500276	61776943	1	0
13663419	13382403	1	0
31500276	2030307	3	0
29969742	12985555	4	0
25003764	50405761	2	0
29960317	17489120	1	0
29969742	78361807	3	0
13663419	5953902	3	0
6342862	1481358	1	0
25003764	16329637	1	0
29969742	16762601	3	0
31500276	65007713	3	0
29969742	61449519	3	0
29960317	70743428	1	0
13663419	69121790	3	0
29969742	80788398	2	0
25003764	62329923	1	0
6342862	66985565	2	0
13663419	4729155	3	0
31500276	74571723	1	0
29960317	70077941	1	0
13663419	65802069	1	0
25003764	13526995	1	0
31500276	14320658	2	0
13663419	70045109	3	0
29960317	64322720	2	0
31500276	74041643	1	0
6342862	15661190	1	0
13663419	74984635	1	0
31500276	18161074	3	0
25003764	1481358	1	0
29969742	74215323	2	0
31500276	73203277	2	0
13663419	1730398	1	0
29969742	78436103	4	0
25003764	16256608	2	0
31500276	79297993	1	0
29969742	2560749	3	0
13663419	14047278	2	0
29969742	14320658	3	0
6342862	65991636	1	0
29969742	4119245	2	0
31500276	5775938	1	0
25003764	72325972	3	1
29969742	4566336	2	1
31500276	75419623	2	0
13663419	1103326	2	0
29960317	66295263	1	1
13663419	68058194	1	0
6342862	16347072	2	0
29969742	56047801	2	0
31500276	88519867	2	0
13663419	89056103	1	0
29969742	24403451	1	0
